Date,open,high,low,close,volume
2025/01/01,93347.59,94960.91,92743.63,94383.59,6871.738482
2025/01/02,94383.59,97776.99,94177.0,96903.19,10912.47384
2025/01/03,96905.48,98969.92,96016.63,98136.51,9021.885382
2025/01/04,98139.85,98761.02,97516.65,98209.85,2742.089606
2025/01/05,98209.85,98814.0,97250.0,98345.33,2377.921759
2025/01/06,98347.65,102500.0,97900.0,102279.41,15173.55607
2025/01/07,102279.41,102735.99,96105.11,96941.98,16587.28692
2025/01/08,96941.98,97254.35,92500.0,95036.63,14182.29739
2025/01/09,95033.18,95363.26,91187.0,92547.44,9712.378532
2025/01/10,92547.44,95862.92,92209.25,94701.18,12634.03408
2025/01/11,94701.48,94983.65,93804.05,94565.02,2638.699568
2025/01/12,94569.91,95383.84,93670.3,94509.62,2025.81613
2025/01/13,94507.24,95900.0,89028.64,94506.45,13094.86359
2025/01/14,94507.35,97353.29,94311.36,96534.96,11210.74227
2025/01/15,96534.97,100716.45,96400.0,100510.23,13610.74729
2025/01/16,100504.27,100880.0,97277.58,99981.78,12312.37367
2025/01/17,99981.46,105970.0,99937.81,104107.0,20518.30949
2025/01/18,104107.0,104933.15,102233.45,104435.0,7835.299918
2025/01/19,104435.01,106314.44,99518.0,101211.13,13312.63686
2025/01/20,101217.78,109358.01,99416.27,102145.43,32342.18311
2025/01/21,102145.42,107291.1,100051.0,106159.26,19411.23489
2025/01/22,106159.27,106431.34,103100.0,103667.11,10730.01896
2025/01/23,103659.6,106870.87,101200.01,103926.36,25064.865
2025/01/24,103926.36,107200.0,102751.92,104850.27,12921.99361
2025/01/25,104866.13,105294.0,104104.0,104733.56,3404.853083
2025/01/26,104729.92,105478.8,102452.24,102563.0,4575.366115
2025/01/27,102565.28,103228.46,97715.03,102062.42,23647.14112
2025/01/28,102063.92,103770.85,100213.8,101290.0,9488.534295
2025/01/29,101290.01,104829.64,101275.6,103747.25,11403.20279
2025/01/30,103747.25,106484.77,103289.74,104742.64,13061.34881
2025/01/31,104742.63,106090.0,101506.0,102411.26,13313.68104
2025/02/01,102414.05,102781.65,100250.0,100623.85,3390.255557
2025/02/02,100623.88,101459.84,96179.0,97676.52,10366.65063
2025/02/03,97676.53,102599.85,91178.01,101460.2,31328.7222
2025/02/04,101460.15,101812.23,96145.76,97795.05,14168.70317
2025/02/05,97795.06,99230.49,96161.01,96638.33,9308.591859
2025/02/06,96635.62,99182.15,95674.96,96564.62,9168.946746
2025/02/07,96575.24,100235.79,95614.96,96537.08,12171.82534
2025/02/08,96536.93,96919.05,95682.33,96476.25,2972.457152
2025/02/09,96476.24,97342.28,94730.67,96475.82,3417.870097
2025/02/10,96481.47,98367.23,95257.2,97444.41,6375.725391
2025/02/11,97451.66,98500.0,94831.07,95774.08,7737.051057
2025/02/12,95770.95,98119.98,94066.92,97862.53,9078.503562
2025/02/13,97864.28,98100.0,95220.0,96625.29,6803.607893
2025/02/14,96625.29,98890.11,96268.56,97509.03,7744.676401
2025/02/15,97507.94,97997.85,97225.01,97596.94,1626.519291
2025/02/16,97596.54,97738.22,96057.68,96119.88,2174.293269
2025/02/17,96119.88,97050.64,95200.0,95781.8,3533.012733
2025/02/18,95781.8,96730.0,93333.0,95607.4,8867.398784
2025/02/19,95612.97,96880.0,95000.01,96632.03,6945.448973
2025/02/20,96632.03,98768.54,96419.07,98347.2,10582.84623
2025/02/21,98347.2,99517.52,94721.92,96157.03,19298.23922
2025/02/22,96157.03,96982.52,95767.95,96582.12,7324.023662
2025/02/23,96578.49,96679.93,95243.91,96265.98,3787.847053
2025/02/24,96266.23,96515.41,91300.0,91510.82,12644.0435
2025/02/25,91509.88,92549.99,85836.18,88583.74,31587.91716
2025/02/26,88583.17,89305.68,82111.12,84111.78,21568.55463
2025/02/27,84111.77,86993.87,82554.11,84625.19,16836.55525
2025/02/28,84627.5,85116.19,78167.81,84297.73,30755.74245
2025/03/01,84297.74,86534.96,83772.54,86018.76,6852.544126
2025/03/02,86018.82,95128.88,85003.35,94265.48,16751.22973
2025/03/03,94265.47,94415.61,85007.01,86161.1,22691.67069
2025/03/04,86161.09,88977.27,81444.0,87249.96,23130.37099
2025/03/05,87247.93,91000.0,86329.22,90603.73,14900.93397
2025/03/06,90607.73,92817.29,87790.5,89921.85,13303.43745
2025/03/07,89915.02,91280.0,84608.27,86756.98,27137.20223
2025/03/08,86753.3,86863.38,85200.0,86206.69,3023.247867
2025/03/09,86206.64,86480.0,80000.0,80699.17,7565.447496
2025/03/10,80708.21,84033.66,77389.0,78544.71,21375.10121
2025/03/11,78548.18,83600.0,76555.0,82914.51,17096.3798
2025/03/12,82911.81,84442.69,80572.21,83659.43,12617.22058
2025/03/13,83659.45,84310.8,79890.0,81073.43,10506.80043
2025/03/14,81071.5,85318.61,80771.17,83980.49,10857.45704
2025/03/15,83989.86,84690.43,83612.24,84351.46,2331.920286
2025/03/16,84351.45,85092.35,81969.44,82562.57,4059.897651
2025/03/17,82562.5,84758.46,82416.98,84011.4,7785.977334
2025/03/18,84011.39,84029.67,81125.0,82698.76,7316.632966
2025/03/19,82699.53,87045.45,82535.53,86877.96,13056.0352
2025/03/20,86877.97,87492.87,83596.75,84183.42,9880.316963
2025/03/21,84183.41,84809.72,83100.0,84061.96,6257.635588
2025/03/22,84061.96,84517.75,83659.69,83852.03,2108.513451
2025/03/23,83852.06,86128.99,83804.67,86092.94,3467.469453
2025/03/24,86092.95,88804.64,85533.06,87523.62,13107.50392
2025/03/25,87518.09,88584.34,86321.97,87427.88,10153.98312
2025/03/26,87432.82,88304.1,85850.0,86926.01,6885.71986
2025/03/27,86926.01,87790.12,85784.0,87217.48,6904.093861
2025/03/28,87214.07,87498.15,83533.4,84381.8,10031.80009
2025/03/29,84381.81,84584.13,81608.99,82616.83,3194.243037
2025/03/30,82624.06,83508.98,81538.88,82379.98,2472.723022
2025/03/31,82379.98,83920.8,81265.16,82534.32,6887.946942
2025/04/01,82534.31,85566.53,82403.32,85170.37,9130.976926
2025/04/02,85166.92,88530.0,82283.01,82490.08,16748.28262
2025/04/03,82490.1,83953.45,81177.7,83174.33,11800.91107
2025/04/04,83178.68,84720.67,81643.54,83860.16,14593.03093
2025/04/05,83859.78,84238.35,82346.61,83498.25,2836.429207
2025/04/06,83505.88,83773.58,77058.99,78370.75,11014.85948
2025/04/07,78370.15,81223.67,74420.69,79140.01,26706.52931
2025/04/08,79140.02,80849.98,76167.35,76251.64,14917.02352
2025/04/09,76258.8,83583.35,74553.01,82594.75,23584.94464
2025/04/10,82593.15,82730.93,78387.24,79552.34,11876.12779
2025/04/11,79552.34,84299.0,78919.94,83380.47,9964.687031
2025/04/12,83379.64,85909.97,82765.26,85271.01,3972.492821
2025/04/13,85271.02,86092.99,83010.0,83733.07,3904.159296
2025/04/14,83733.07,85818.06,83655.27,84590.36,7247.023433
2025/04/15,84590.36,86491.4,83592.77,83629.78,6461.770244
2025/04/16,83622.52,85526.4,83088.02,84028.72,8246.737489
2025/04/17,84028.71,85494.94,83711.69,84961.97,5865.700773
2025/04/18,84961.97,85150.94,84287.06,84466.47,1884.076687
2025/04/19,84466.47,85625.0,84353.45,85074.99,1683.307469
2025/04/20,85074.59,85319.21,83972.82,85177.34,1812.143254
2025/04/21,85177.33,88575.62,85135.98,87522.07,12603.75828
2025/04/22,87513.53,93952.62,87077.17,93489.1,19460.09433
2025/04/23,93486.57,94686.0,91902.19,93740.92,12538.32137
2025/04/24,93740.93,94061.02,91685.18,94021.96,9320.808618
2025/04/25,94021.97,95976.34,92880.01,94708.79,14148.63395
2025/04/26,94707.79,95273.52,93903.01,94666.64,2253.989423
2025/04/27,94666.64,95351.11,93654.77,93780.57,2304.937895
2025/04/28,93780.56,95652.66,92829.44,95042.57,7348.488373
2025/04/29,95042.56,95499.0,93761.26,94271.09,5979.944729
2025/04/30,94271.08,95263.74,92911.88,94182.54,6511.317786
2025/05/01,94182.55,97546.99,94136.79,96524.98,8334.026811
2025/05/02,96524.98,97948.56,96369.69,96929.81,5709.610121
2025/05/03,96929.81,96974.78,95765.13,95861.33,2077.55676
2025/05/04,95865.47,96312.51,94151.67,94272.55,2834.396865
2025/05/05,94272.54,95218.82,93500.01,94733.99,5181.012066
2025/05/06,94733.99,96916.25,93363.28,96839.17,6164.34739
2025/05/07,96843.84,97738.05,95800.0,97058.32,8328.698755
2025/05/08,97058.33,104176.05,96888.25,103253.49,15379.43544
2025/05/09,103252.2,104352.6,102330.76,102986.96,7318.604402
2025/05/10,102986.94,104997.0,102831.41,104821.19,3104.171436
2025/05/11,104817.83,104980.89,103360.22,104137.62,3055.228132
2025/05/12,104137.58,105787.37,100703.71,102800.21,11005.40674
2025/05/13,102800.22,105038.53,101447.78,104131.06,8727.891058
2025/05/14,104131.2,104373.0,102603.27,103545.38,7628.701773
2025/05/15,103540.91,104200.0,101400.01,103786.43,7563.00947
2025/05/16,103786.4,104616.71,103125.51,103500.03,6881.657081
2025/05/17,103500.03,103741.98,102612.0,103161.07,1848.95251
2025/05/18,103162.53,106692.97,103130.95,106473.46,4130.608891
2025/05/19,106488.77,107137.68,102105.0,105616.18,10104.32339
2025/05/20,105616.21,107355.0,104209.18,106883.24,8804.387248
2025/05/21,106883.24,110788.98,106128.14,109699.54,18333.91491
2025/05/22,109697.19,112000.0,109217.23,111722.53,11250.38756
2025/05/23,111722.54,111824.07,106800.01,107329.61,9638.234896
2025/05/24,107332.08,109517.79,106895.77,107794.01,2611.356055
2025/05/25,107794.01,109371.04,106632.35,109048.68,2996.998427
2025/05/26,109048.41,110474.41,108706.04,109464.32,4641.381174
2025/05/27,109464.33,110829.42,107536.41,108978.46,8827.069178
2025/05/28,108978.45,109344.89,106790.16,107819.29,6474.201313
2025/05/29,107819.26,108943.35,105315.0,105572.58,9305.584105
2025/05/30,105572.58,106377.66,103634.48,104033.26,7866.162412
2025/05/31,104033.0,104965.5,103110.01,104645.87,2403.608244
2025/06/01,104645.87,105937.46,103800.81,105697.94,2369.928916
2025/06/02,105697.93,106000.0,103685.23,105904.94,5818.90812
2025/06/03,105909.79,106901.68,104910.01,105447.82,6486.459778
2025/06/04,105443.95,106058.47,104202.0,104753.38,4505.035992
2025/06/05,104753.37,105999.68,100345.73,101570.2,10627.5734
2025/06/06,101570.2,105439.01,101132.91,104397.99,9677.257485
2025/06/07,104398.0,106000.0,103969.7,105619.02,4141.101243
2025/06/08,105619.02,106548.9,105028.3,105784.4,1998.61011
2025/06/09,105784.41,110651.12,105368.27,110301.15,6581.247819
2025/06/10,110299.69,110420.08,108362.14,110300.24,5433.671694
2025/06/11,110300.25,110435.05,108091.74,108669.37,4603.332445
2025/06/12,108673.77,108853.74,105706.78,105721.05,5734.671361
2025/06/13,105716.45,106233.0,102746.01,106118.7,7441.524659
2025/06/14,106114.53,106264.36,104351.72,105465.42,2256.487025
2025/06/15,105465.42,106184.13,104505.05,105599.25,1722.809452
2025/06/16,105600.21,109000.0,104982.26,106853.38,5952.983693
2025/06/17,106853.38,107792.9,103363.3,104590.44,7688.946424
2025/06/18,104590.44,105603.63,103512.38,104915.6,4918.143827
2025/06/19,104915.6,105266.61,103916.37,104671.9,2279.05842
2025/06/20,104671.4,106553.86,102357.25,103317.8,5047.636262
2025/06/21,103317.79,104013.64,100919.19,102160.03,3287.513275
2025/06/22,102160.36,103417.0,98225.01,100996.87,7872.258744
2025/06/23,100996.87,106135.47,99677.07,105419.39,8910.866766
2025/06/24,105418.4,106366.29,104681.83,106141.0,5773.209077
2025/06/25,106141.01,108206.0,105875.0,107400.22,7072.656363
2025/06/26,107400.22,108345.0,106605.88,107029.64,4900.222317
2025/06/27,107029.63,107804.2,106413.79,107113.38,6310.437157
2025/06/28,107119.17,107599.81,106868.94,107352.2,1227.768033
2025/06/29,107352.2,108550.0,107230.0,108386.44,2154.861703
2025/06/30,108386.44,108800.0,106724.76,107173.21,4839.048381
2025/07/01,107173.21,107579.3,105262.0,105711.78,5152.727602
2025/07/02,105711.77,109823.08,105119.7,108888.32,7995.792584
2025/07/03,108887.03,110590.0,108574.31,109628.83,6434.579216
2025/07/04,109628.83,109812.94,107268.84,108028.6,3129.2186
2025/07/05,108028.6,108454.19,107783.1,108246.65,1513.154286
2025/07/06,108246.66,109736.64,107837.7,109217.98,1651.181202
2025/07/07,109217.98,109741.64,107507.0,108269.84,4455.08353
2025/07/08,108271.49,109255.99,107438.33,108958.04,3785.390742
2025/07/09,108953.58,112152.91,108329.87,111282.85,7683.832396
2025/07/10,111282.84,116842.0,110541.87,116031.3,12920.20743
2025/07/11,116031.29,118909.74,115211.74,117582.16,10116.88621
2025/07/12,117582.16,118244.51,116940.82,117472.65,2397.723813
2025/07/13,117472.65,119500.0,117238.69,119130.81,3461.043031
2025/07/14,119130.81,123231.07,118949.18,119863.71,13536.79955
2025/07/15,119863.71,119973.3,115697.37,117781.64,23726.31356
2025/07/16,117781.63,120134.8,117033.23,118681.68,9250.986426
2025/07/17,118681.67,120998.76,117469.0,119273.69,8360.351309
2025/07/18,119273.7,120918.68,116892.42,118023.05,8735.403864
2025/07/19,118023.06,118564.59,117337.59,117914.17,1700.09972
2025/07/20,117914.17,118921.76,116525.0,117312.7,2504.590321
2025/07/21,117315.68,119745.93,116565.01,117428.79,5450.554503
2025/07/22,117428.79,120300.0,116185.0,120026.42,7564.588529
2025/07/23,120034.21,120180.93,117342.21,118810.44,5526.138199
2025/07/24,118810.44,119557.7,117190.0,118397.04,7137.01277
2025/07/25,118400.0,118518.2,114750.0,117633.27,24633.33644
2025/07/26,117633.27,118371.35,117095.73,117969.63,6974.429306
2025/07/27,117981.73,119800.0,117849.99,119465.52,4999.421807
2025/07/28,119465.52,119839.0,117380.6,118070.59,7647.384385
2025/07/29,118074.43,119284.78,116900.0,117933.39,6070.863357
2025/07/30,117933.39,118809.43,115728.49,117830.15,4647.741014
2025/07/31,117830.15,118920.0,115500.0,115761.13,4647.652139
2025/08/01,115756.12,116065.12,112659.0,113248.73,9196.584416
